链接,名称,排名,分类,更新日,状态,最后更新,回归,倒计时
http://www.ttmeiju.vip/meiju/Banshee.html,黑吃黑 Banshee,88,罪案类,每周六,本季终,2016-05-22 09:22,暂无,暂无
http://www.ttmeiju.vip/meiju/12.Monkeys.html,十二猴子 12 Monkeys,90,科幻类,每周六,本季终,2018-07-07 14:21,暂无,暂无
http://www.ttmeiju.vip/meiju/Designated.Survivor.html,指定幸存者 Designated Survivor,92,剧情类,每周四,本季终,2018-05-17 10:52,2019-09-02,184天
http://www.ttmeiju.vip/meiju/Killing.Eve.html,杀死伊芙 Killing Eve,94,惊悚类,每周一,本季终,2018-10-16 08:55,暂无,暂无
http://www.ttmeiju.vip/meiju/Hannibal.html,汉尼拔 Hannibal,96,罪案类,每周五,剧终,2017-04-19 09:49,暂无,暂无
http://www.ttmeiju.vip/meiju/Salvation.html,救世 Salvation,98,科幻类,每周四,本季终,2018-09-20 10:56,暂无,暂无
http://www.ttmeiju.vip/meiju/A.Discovery.of.Witches.html,发现女巫 A Discovery of Witches,100,奇幻类,每周六,本季终,2018-11-09 22:37,暂无,暂无
http://www.ttmeiju.vip/meiju/Fargo.html,冰血暴 Fargo,51,罪案类,每周四,本季终,2017-07-03 22:58,暂无,暂无
http://www.ttmeiju.vip/meiju/Humans.html,真实的人类 Humans,53,科幻类,每周四,本季终,2019-01-15 15:38,暂无,暂无
http://www.ttmeiju.vip/meiju/The.Good.Wife.html,傲骨贤妻 The Good Wife,55,剧情类,每周一,剧终,2017-01-15 13:44,暂无,暂无
http://www.ttmeiju.vip/meiju/Patrick.Melrose.html,梅尔罗斯 Patrick Melrose,57,剧情类,每周六,本季终,2018-11-05 18:44,暂无,暂无
http://www.ttmeiju.vip/meiju/Harlots.html,名姝 Harlots,59,剧情类,每周四,本季终,2019-01-15 08:16,暂无,暂无
http://www.ttmeiju.vip/meiju/Tyrant.html,暴君 Tyrant,61,剧情类,每周四,剧终,2016-09-13 13:03,暂无,暂无
http://www.ttmeiju.vip/meiju/iZombie.html,我是僵尸 iZombie,63,剧情类,每周二,本季终,2018-05-31 12:23,2019-05-03,62天
http://www.ttmeiju.vip/meiju/BBC.Channel.html,BBC频道 BBC Channel,65,暂无,随机,播出中,2018-07-19 09:08,暂无,暂无
http://www.ttmeiju.vip/meiju/The.Good.Doctor.html,好医生 The Good Doctor,67,剧情类,每周三,播出中,2019-02-26 14:01,暂无,暂无
http://www.ttmeiju.vip/meiju/Strike.Back.html,反击 Strike Back,69,剧情类,每周四,播出中,2019-02-24 10:23,暂无,暂无
http://www.ttmeiju.vip/meiju/Mr.Robot.html,黑客军团 Mr.Robot,71,罪案类,每周四,本季终,2018-03-18 10:19,暂无,暂无
http://www.ttmeiju.vip/meiju/Blood.Drive.html,血路狂飙 Blood Drive,73,科幻类,每周四,被砍,2018-05-25 09:12,暂无,暂无
http://www.ttmeiju.vip/meiju/The.Originals.html,始祖家族 The Originals,75,奇幻类,每周四,剧终,2018-09-09 14:29,暂无,暂无
http://www.ttmeiju.vip/meiju/Agent.Carter.html,特工卡特 Agent Carter,77,科幻类,每周三,被砍,2016-03-03 17:00,暂无,暂无
http://www.ttmeiju.vip/meiju/The.100.html,地球百子 The 100,79,科幻类,每周三,本季终,2018-08-08 14:57,2019-05-01,60天
http://www.ttmeiju.vip/meiju/Blue.Planet.html,蓝色星球 Blue Planet,81,纪录片,每周一,本季终,2018-10-12 15:48,暂无,暂无
